id;age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country
11804;41; Local-gov;176716; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;60; United-States
11805;42; Private;270721; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;32; United-States
11806;24; Private;100321; Some-college;10; Divorced; Craft-repair; Not-in-family; White; Male;0;0;48; United-States
11807;35; Private;79050; HS-grad;9; Never-married; Transport-moving; Unmarried; Black; Male;0;0;72; United-States
11808;40; Local-gov;42703; Some-college;10; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
11809;46; Private;116952; 7th-8th;4; Married-civ-spouse; Prof-specialty; Wife; White; Female;0;0;45; United-States
11810;45; Private;331643; Some-college;10; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11811;33; Private;207937; HS-grad;9; Never-married; Craft-repair; Not-in-family; White; Male;0;1092;40; United-States
11812;68; Private;223486; HS-grad;9; Widowed; Other-service; Unmarried; White; Female;0;0;7; England
11813;33; Private;340332; Bachelors;13; Separated; Exec-managerial; Not-in-family; Black; Female;0;0;45; United-States
11814;23; Private;184813; Some-college;10; Married-civ-spouse; Other-service; Husband; White; Male;0;0;20; United-States
11815;42; Self-emp-not-inc;32185; Bachelors;13; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;60; United-States
11816;30; Private;197886; Some-college;10; Never-married; Sales; Not-in-family; White; Male;0;0;45; United-States
11817;35; State-gov;248374; Some-college;10; Divorced; Adm-clerical; Unmarried; Black; Female;0;0;40; United-States
11818;40; Private;382499; HS-grad;9; Divorced; Adm-clerical; Unmarried; White; Female;0;0;50; United-States
11819;36; State-gov;108320; Masters;14; Divorced; Prof-specialty; Unmarried; White; Male;5455;0;30; United-States
11820;46; Self-emp-inc;161386; 9th;5; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;50; United-States
11821;49; Local-gov;110172; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11822;41; Private;144032; HS-grad;9; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;60; United-States
11823;26; Private;224426; Masters;14; Never-married; Exec-managerial; Own-child; White; Male;0;0;38; United-States
11824;37; Private;230408; HS-grad;9; Divorced; Other-service; Not-in-family; Black; Female;0;0;20; United-States
11825;50; Local-gov;20795; Some-college;10; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;40; United-States
11826;20; Private;174714; Some-college;10; Never-married; Other-service; Own-child; White; Male;0;0;20; United-States
11827;59; State-gov;398626; Doctorate;16; Divorced; Prof-specialty; Unmarried; White; Male;25236;0;45; United-States
11828;30; Private;149531; Some-college;10; Married-civ-spouse; Sales; Husband; White; Male;0;0;40; United-States
11829;23; Private;34113; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;45; United-States
11830;44; Local-gov;323790; Bachelors;13; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;40; United-States
11831;28; Private;331381; Bachelors;13; Never-married; Adm-clerical; Not-in-family; White; Male;0;0;40; United-States
11832;48; Private;160647; Some-college;10; Never-married; Exec-managerial; Not-in-family; White; Female;0;0;40; Ireland
11833;34; Private;339142; HS-grad;9; Separated; Handlers-cleaners; Unmarried; White; Female;0;0;40; United-States
11834;58; Private;164857; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;99; United-States
11835;33; Local-gov;267859; Some-college;10; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;40; United-States
11836;38; Private;167725; Bachelors;13; Married-spouse-absent; Transport-moving; Not-in-family; Other; Male;0;0;84; India
11837;49; Federal-gov;586657; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;7298;0;40; United-States
11838;67; Self-emp-not-inc;105907; 1st-4th;2; Widowed; Other-service; Not-in-family; Black; Female;0;0;20; United-States
11839;23; Private;200677; 10th;6; Never-married; Machine-op-inspct; Not-in-family; White; Female;0;0;40; United-States
11840;42; Private;193882; Some-college;10; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11841;54; Private;138026; HS-grad;9; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
11842;49; Private;122385; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
11843;35; Private;49020; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;60; United-States
11844;26; Private;283715; HS-grad;9; Never-married; Craft-repair; Own-child; White; Male;0;0;40; United-States
11845;31; Private;286406; HS-grad;9; Never-married; Exec-managerial; Not-in-family; White; Male;3325;0;40; United-States
11846;36; Private;166416; HS-grad;9; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;40; United-States
11847;25; Private;156334; 10th;6; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;40; United-States
11848;35; Local-gov;45607; Masters;14; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;60; United-States
11849;40; Local-gov;112362; Masters;14; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11850;52; Private;200419; Assoc-acdm;12; Separated; Prof-specialty; Not-in-family; White; Female;0;0;50; United-States
11851;42; State-gov;341638; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11852;25; ?;34161; 12th;8; Separated; ?; Unmarried; White; Female;0;0;30; United-States
11853;50; Self-emp-not-inc;127151; Masters;14; Married-civ-spouse; Prof-specialty; Wife; White; Female;0;0;40; Canada
11854;52; Private;321959; Some-college;10; Married-civ-spouse; Tech-support; Husband; Black; Male;0;0;40; United-States
11855;51; Local-gov;35211; Masters;14; Married-civ-spouse; Prof-specialty; Husband; Amer-Indian-Eskimo; Male;0;0;40; United-States
11856;19; Private;214935; Some-college;10; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;40; United-States
11857;43; Private;132130; Assoc-voc;11; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;40; United-States
11858;57; Private;222247; 12th;8; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11859;35; Private;165799; HS-grad;9; Divorced; Exec-managerial; Not-in-family; White; Male;0;0;60; United-States
11860;30; Private;257874; Bachelors;13; Never-married; Sales; Not-in-family; White; Female;0;0;30; United-States
11861;38; Private;357173; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11862;45; State-gov;305739; Some-college;10; Divorced; Adm-clerical; Not-in-family; White; Female;0;0;40; United-States
11863;23; Private;172047; HS-grad;9; Never-married; Handlers-cleaners; Own-child; White; Male;0;0;40; United-States
11864;22; Private;110677; Some-college;10; Separated; Other-service; Own-child; White; Female;0;0;40; United-States
11865;21; ?;405684; HS-grad;9; Never-married; ?; Other-relative; White; Male;0;0;35; Mexico
11866;60; Private;82388; Some-college;10; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;38; United-States
11867;45; Private;289230; Bachelors;13; Divorced; Prof-specialty; Unmarried; White; Female;0;0;48; United-States
11868;26; Private;101812; HS-grad;9; Never-married; Machine-op-inspct; Unmarried; White; Male;5721;0;40; United-States
11869;49; State-gov;336509; 10th;6; Married-civ-spouse; Other-service; Husband; White; Male;0;0;40; United-States
11870;29; Private;383402; Some-college;10; Divorced; Other-service; Not-in-family; White; Female;0;0;35; United-States
11871;47; Private;328216; Some-college;10; Married-civ-spouse; Tech-support; Husband; White; Male;7298;0;40; United-States
11872;40; Private;280362; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;35; United-States
11873;34; Private;212064; HS-grad;9; Separated; Adm-clerical; Unmarried; White; Female;7443;0;35; United-States
11874;42; Private;173704; Masters;14; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11875;33; Private;433375; 1st-4th;2; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;35; Mexico
11876;63; Self-emp-not-inc;106551; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11877;53; Private;22418; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11878;38; Private;54816; Assoc-voc;11; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11879;44; Private;358199; Some-college;10; Married-civ-spouse; Sales; Husband; White; Male;0;0;45; United-States
11880;43; Private;190044; 10th;6; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11881;26; Private;97698; Masters;14; Never-married; Exec-managerial; Not-in-family; White; Male;0;0;32; United-States
11882;56; Private;53366; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11883;39; Private;236136; Assoc-voc;11; Divorced; Adm-clerical; Unmarried; Black; Female;0;0;40; United-States
11884;44; Private;326232; 7th-8th;4; Divorced; Handlers-cleaners; Not-in-family; White; Male;0;0;48; United-States
11885;34; Private;581071; HS-grad;9; Separated; Adm-clerical; Not-in-family; White; Male;0;0;48; United-States
11886;40; Private;220589; Assoc-acdm;12; Never-married; Adm-clerical; Not-in-family; White; Female;0;0;40; United-States
11887;38; Federal-gov;161463; Some-college;10; Married-civ-spouse; Other-service; Husband; Black; Male;0;0;40; United-States
11888;44; Private;95255; Some-college;10; Divorced; Adm-clerical; Unmarried; White; Female;0;0;40; United-States
11889;34; Federal-gov;223267; Some-college;10; Divorced; Protective-serv; Own-child; White; Male;0;0;72; United-States
11890;22; Private;236769; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;20; England
11891;58; Self-emp-inc;229498; Some-college;10; Widowed; Sales; Not-in-family; White; Female;0;0;20; United-States
11892;43; Private;177083; Some-college;10; Divorced; Tech-support; Unmarried; White; Female;0;0;30; United-States
11893;23; Private;287681; HS-grad;9; Never-married; Craft-repair; Own-child; White; Male;0;0;40; Columbia
11894;41; Private;49797; Some-college;10; Separated; Exec-managerial; Not-in-family; Black; Female;0;0;40; United-States
11895;44; Private;174051; Some-college;10; Never-married; Other-service; Not-in-family; White; Male;0;0;35; United-States
11896;32; Private;194901; HS-grad;9; Married-civ-spouse; Adm-clerical; Husband; White; Male;0;0;40; United-States
11897;38; Local-gov;252250; Assoc-acdm;12; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;56; United-States
11898;47; Private;191277; Some-college;10; Married-civ-spouse; Sales; Husband; White; Male;0;0;50; United-States
11899;24; Private;174907; HS-grad;9; Never-married; Other-service; Own-child; White; Female;0;0;30; United-States
11900;39; Private;167140; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
11901;32; Private;236543; 12th;8; Divorced; Protective-serv; Own-child; White; Male;0;0;54; Mexico
11902;40; Private;214242; HS-grad;9; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;0;0;50; United-States
11903;34; Private;216864; HS-grad;9; Divorced; Other-service; Unmarried; White; Female;0;3770;45; United-States
11904;34; Private;245211; HS-grad;9; Never-married; Craft-repair; Unmarried; White; Male;2036;0;30; United-States
11905;57; Private;437727; Masters;14; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;1977;45; United-States
11906;71; Private;200418; 5th-6th;3; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11907;45; Local-gov;167334; Masters;14; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;50; United-States
11908;54; Private;146834; HS-grad;9; Divorced; Transport-moving; Not-in-family; White; Male;0;0;45; United-States
11909;26; Private;78424; Assoc-voc;11; Never-married; Sales; Unmarried; White; Female;0;0;54; United-States
11910;37; Private;182675; Some-college;10; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;45; United-States
11911;28; Self-emp-not-inc;38079; Some-college;10; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;55; United-States
11912;42; Private;115178; Bachelors;13; Divorced; Prof-specialty; Unmarried; White; Female;0;0;15; United-States
11913;45; Private;195949; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11914;37; Private;167415; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;50; United-States
11915;57; Private;223214; HS-grad;9; Married-civ-spouse; Sales; Husband; White; Male;0;0;50; United-States
11916;39; Private;22245; Bachelors;13; Married-civ-spouse; Prof-specialty; Not-in-family; White; Male;0;0;60; United-States
11917;45; State-gov;81853; Some-college;10; Married-civ-spouse; Adm-clerical; Wife; Asian-Pac-Islander; Female;0;0;40; United-States
11918;30; Private;147921; Assoc-voc;11; Divorced; Adm-clerical; Not-in-family; White; Female;0;0;46; United-States
11919;27; Private;29261; HS-grad;9; Married-AF-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11920;44; Private;257758; Doctorate;16; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11921;44; State-gov;136546; Doctorate;16; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;1902;40; United-States
11922;38; Private;205493; HS-grad;9; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;60; United-States
11923;19; Private;71650; HS-grad;9; Never-married; Farming-fishing; Own-child; White; Male;0;0;40; United-States
11924;39; Private;150217; Some-college;10; Divorced; Sales; Not-in-family; White; Female;0;0;38; United-States
11925;55; Self-emp-inc;258648; 10th;6; Widowed; Transport-moving; Not-in-family; White; Male;0;0;40; United-States
11926;17; Private;114798; 10th;6; Never-married; Other-service; Own-child; White; Female;0;0;20; United-States
11927;43; Private;186188; Some-college;10; Divorced; Adm-clerical; Unmarried; White; Female;0;0;40; United-States
11928;36; Local-gov;175255; HS-grad;9; Married-civ-spouse; Other-service; Wife; White; Female;0;0;35; United-States
11929;45; Private;249935; Bachelors;13; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;60; United-States
11930;44; Private;120277; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;38; United-States
11931;26; Private;193165; Some-college;10; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;52; United-States
11932;32; Private;185027; Assoc-acdm;12; Married-civ-spouse; Craft-repair; Husband; White; Male;0;1887;40; Ireland
11933;21; Private;221418; HS-grad;9; Never-married; Other-service; Own-child; White; Female;0;0;40; United-States
11934;43; Federal-gov;56063; Bachelors;13; Married-civ-spouse; Sales; Husband; White; Male;0;0;60; United-States
11935;34; Private;153927; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11936;33; State-gov;163110; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;20; United-States
11937;40; Self-emp-inc;175696; HS-grad;9; Never-married; Sales; Not-in-family; White; Male;0;0;51; United-States
11938;46; Private;143189; 5th-6th;3; Never-married; Machine-op-inspct; Own-child; White; Female;0;0;40; Dominican-Republic
11939;20; ?;114969; HS-grad;9; Never-married; ?; Own-child; White; Male;0;0;40; United-States
11940;54; State-gov;32778; HS-grad;9; Widowed; Exec-managerial; Not-in-family; White; Female;0;0;40; United-States
11941;23; Private;150683; Some-college;10; Never-married; Exec-managerial; Own-child; White; Male;0;0;40; United-States
11942;58; Self-emp-inc;78104; HS-grad;9; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;45; United-States
11943;25; Private;335005; Some-college;10; Married-civ-spouse; Protective-serv; Husband; White; Male;3137;0;40; United-States
11944;50; Local-gov;311551; Masters;14; Married-civ-spouse; Prof-specialty; Husband; White; Male;7688;0;50; United-States
11945;42; Self-emp-not-inc;201520; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;45; United-States
11946;25; Private;124111; HS-grad;9; Never-married; Other-service; Not-in-family; White; Female;0;0;38; United-States
11947;60; Private;166386; 11th;7; Married-civ-spouse; Machine-op-inspct; Wife; Asian-Pac-Islander; Female;0;0;30; Hong
11948;43; State-gov;117471; HS-grad;9; Never-married; Adm-clerical; Not-in-family; White; Female;0;0;40; United-States
11949;25; Private;361307; Bachelors;13; Never-married; Sales; Own-child; White; Female;0;0;40; United-States
11950;31; Private;142038; HS-grad;9; Married-civ-spouse; Craft-repair; Wife; White; Female;0;0;45; United-States
11951;35; Private;276552; HS-grad;9; Divorced; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
11952;48; Private;50402; Some-college;10; Divorced; Machine-op-inspct; Unmarried; White; Male;0;0;40; United-States
11953;43; Self-emp-not-inc;174090; HS-grad;9; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;20; United-States
11954;27; Private;277760; HS-grad;9; Divorced; Exec-managerial; Unmarried; White; Female;0;0;40; United-States
11955;24; Private;24243; HS-grad;9; Never-married; Craft-repair; Not-in-family; White; Male;0;1590;40; United-States
11956;44; Self-emp-inc;151089; HS-grad;9; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;1887;70; United-States
11957;52; Self-emp-not-inc;165278; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;22; United-States
11958;49; Private;182752; Some-college;10; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
11959;31; Private;173002; HS-grad;9; Never-married; Adm-clerical; Own-child; White; Female;0;0;40; United-States
11960;59; Private;261232; 11th;7; Divorced; Farming-fishing; Not-in-family; White; Male;0;0;40; United-States
11961;27; Private;164607; Bachelors;13; Married-civ-spouse; Other-service; Husband; White; Male;0;0;40; United-States
11962;38; Self-emp-not-inc;129573; Masters;14; Never-married; Prof-specialty; Not-in-family; White; Male;0;0;40; United-States
11963;51; Federal-gov;36186; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;40; United-States
11964;24; Private;325744; HS-grad;9; Never-married; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
11965;58; Self-emp-inc;329793; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;45; United-States
11966;46; Private;133616; Some-college;10; Divorced; Adm-clerical; Unmarried; White; Female;0;0;40; United-States
11967;55; Private;83401; 5th-6th;3; Widowed; Machine-op-inspct; Unmarried; White; Female;0;0;40; United-States
11968;76; Private;239880; HS-grad;9; Divorced; Adm-clerical; Not-in-family; White; Female;0;0;8; United-States
11969;25; Private;201737; Some-college;10; Divorced; Adm-clerical; Unmarried; White; Female;0;0;40; United-States
11970;51; Private;192182; Some-college;10; Married-civ-spouse; Machine-op-inspct; Husband; White; Male;7298;0;40; United-States
11971;33; Private;143540; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
11972;46; Private;28334; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11973;51; Private;245873; Some-college;10; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
11974;42; Local-gov;199095; Assoc-voc;11; Widowed; Prof-specialty; Unmarried; Black; Female;0;0;40; United-States
11975;53; Private;104461; Bachelors;13; Never-married; Other-service; Not-in-family; White; Male;8614;0;50; Italy
11976;33; Local-gov;183923; Masters;14; Married-civ-spouse; Prof-specialty; Wife; White; Female;7688;0;35; United-States
11977;30; Private;129707; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;99999;0;35; United-States
11978;41; Local-gov;575442; Some-college;10; Divorced; Craft-repair; Not-in-family; White; Male;0;0;40; United-States
11979;42; State-gov;184682; Assoc-acdm;12; Divorced; Other-service; Not-in-family; White; Female;0;0;40; United-States
11980;34; Private;69251; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; Asian-Pac-Islander; Male;0;0;40; United-States
11981;31; Private;225507; Assoc-voc;11; Never-married; Other-service; Unmarried; White; Female;0;0;40; United-States
11982;46; Private;167515; Some-college;10; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;1977;50; United-States
11983;35; Private;407068; 1st-4th;2; Married-spouse-absent; Other-service; Not-in-family; White; Male;0;0;40; Guatemala
11984;40; Private;170019; HS-grad;9; Never-married; Other-service; Not-in-family; White; Male;0;0;40; ?
11985;46; Local-gov;125892; Some-college;10; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;40; United-States
11986;43; Local-gov;35824; Masters;14; Married-civ-spouse; Prof-specialty; Wife; White; Female;0;0;40; United-States
11987;35; Private;67083; HS-grad;9; Married-civ-spouse; Other-service; Husband; Asian-Pac-Islander; Male;0;0;40; China
11988;23; Private;107801; Bachelors;13; Never-married; Adm-clerical; Own-child; White; Female;0;0;20; United-States
11989;50; Self-emp-not-inc;95577; HS-grad;9; Married-civ-spouse; Other-service; Wife; White; Female;0;0;12; ?
11990;43; Private;118536; HS-grad;9; Divorced; Machine-op-inspct; Other-relative; Black; Male;0;0;40; United-States
11991;61; Private;198078; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
11992;29; Private;78261; Prof-school;15; Never-married; Prof-specialty; Own-child; White; Male;0;0;50; United-States
11993;21; Private;234108; HS-grad;9; Never-married; Sales; Not-in-family; White; Male;0;0;40; United-States
11994;36; Local-gov;241998; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;1672;50; United-States
11995;40; Private;92717; HS-grad;9; Never-married; Other-service; Unmarried; Black; Female;0;0;40; United-States
11996;23; Private;257683; Bachelors;13; Never-married; Prof-specialty; Own-child; White; Male;0;0;40; United-States
11997;90; Private;40388; Bachelors;13; Never-married; Exec-managerial; Not-in-family; White; Male;0;0;55; United-States
11998;24; Private;55424; Bachelors;13; Never-married; Exec-managerial; Own-child; White; Male;0;0;40; United-States
11999;20; Private;169600; Some-college;10; Never-married; Prof-specialty; Own-child; White; Female;2176;0;12; United-States
12000;40; Local-gov;319271; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;60; United-States
12001;37; Self-emp-not-inc;75050; Assoc-voc;11; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;55; United-States
12002;31; Private;182896; HS-grad;9; Never-married; Craft-repair; Not-in-family; White; Female;0;0;40; United-States
12003;22; Private;188274; HS-grad;9; Never-married; Transport-moving; Own-child; White; Male;0;0;40; United-States
12004;25; Private;211497; Some-college;10; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;0;40; United-States
12005;46; Private;113806; 12th;8; Married-civ-spouse; Craft-repair; Husband; White; Male;7298;0;40; ?
12006;47; Local-gov;172246; Masters;14; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;60; United-States
12007;48; Local-gov;219962; Assoc-voc;11; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
12008;36; ?;186815; Masters;14; Married-civ-spouse; ?; Husband; White; Male;0;0;50; United-States
12009;26; ?;132749; Bachelors;13; Never-married; ?; Not-in-family; White; Female;0;0;80; United-States
12010;28; Private;209801; 9th;5; Married-civ-spouse; Machine-op-inspct; Wife; White; Female;0;0;40; United-States
12011;20; State-gov;178517; Some-college;10; Never-married; Farming-fishing; Not-in-family; White; Male;0;0;40; United-States
12012;51; Private;169364; Some-college;10; Divorced; Handlers-cleaners; Not-in-family; White; Female;0;0;40; Ireland
12013;32; Federal-gov;164707; HS-grad;9; Married-civ-spouse; Adm-clerical; Wife; White; Female;0;0;40; United-States
12014;55; Private;144084; 10th;6; Married-civ-spouse; Other-service; Husband; White; Male;0;0;40; United-States
12015;41; Local-gov;133692; Bachelors;13; Divorced; Protective-serv; Unmarried; White; Female;0;0;40; United-States
12016;46; Private;184169; Masters;14; Married-civ-spouse; Prof-specialty; Wife; White; Female;7688;0;35; United-States
12017;45; Self-emp-inc;145290; HS-grad;9; Married-civ-spouse; Other-service; Husband; White; Male;0;0;40; United-States
12018;65; Local-gov;24824; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;40; United-States
12019;45; Private;178319; Doctorate;16; Married-civ-spouse; Prof-specialty; Husband; White; Male;7688;0;50; United-States
12020;22; Private;235829; Some-college;10; Never-married; Adm-clerical; Own-child; White; Female;0;0;40; United-States
12021;22; ?;196280; Some-college;10; Never-married; ?; Own-child; White; Female;0;0;20; United-States
12022;42; Self-emp-not-inc;54202; Prof-school;15; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;0;50; United-States
12023;37; Private;220237; Bachelors;13; Married-civ-spouse; Exec-managerial; Husband; White; Male;5178;0;40; United-States
12024;24; Private;59146; Bachelors;13; Married-civ-spouse; Exec-managerial; Wife; White; Female;0;0;40; United-States
12025;67; Private;64148; Some-college;10; Divorced; Other-service; Unmarried; Black; Female;0;0;41; United-States
12026;28; Private;196621; HS-grad;9; Married-spouse-absent; Tech-support; Not-in-family; White; Female;0;0;37; United-States
12027;56; Private;195668; 10th;6; Married-civ-spouse; Other-service; Husband; White; Male;0;0;35; Cuba
12028;31; State-gov;263000; Assoc-voc;11; Married-civ-spouse; Protective-serv; Husband; White; Male;0;0;38; United-States
12029;33; Private;554986; Some-college;10; Separated; Exec-managerial; Unmarried; White; Female;0;0;40; United-States
12030;52; ?;108211; 7th-8th;4; Married-civ-spouse; ?; Husband; White; Male;0;0;40; United-States
12031;45; Private;217654; Some-college;10; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;40; Germany
12032;53; Private;139671; Bachelors;13; Married-civ-spouse; Prof-specialty; Husband; White; Male;0;1902;40; United-States
12033;47; Private;102771; 7th-8th;4; Married-civ-spouse; Handlers-cleaners; Husband; White; Male;0;0;40; Portugal
12034;40; Private;213019; HS-grad;9; Divorced; Sales; Unmarried; White; Female;0;0;30; United-States
12035;35; Private;228493; Some-college;10; Never-married; Sales; Own-child; White; Male;0;0;48; United-States
12036;65; Self-emp-not-inc;22907; 7th-8th;4; Married-civ-spouse; Farming-fishing; Husband; White; Male;0;0;40; United-States
12037;42; Private;24364; Some-college;10; Married-civ-spouse; Other-service; Wife; Black; Female;0;0;30; United-States
12038;23; Federal-gov;41432; Bachelors;13; Never-married; Prof-specialty; Not-in-family; White; Female;0;0;15; United-States
12039;39; Private;235259; Some-college;10; Divorced; Adm-clerical; Not-in-family; White; Female;0;0;40; United-States
12040;39; Private;343476; HS-grad;9; Married-civ-spouse; Craft-repair; Husband; White; Male;0;0;30; United-States
12041;37; Private;326886; HS-grad;9; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
12042;25; Private;248313; Assoc-voc;11; Never-married; Adm-clerical; Not-in-family; White; Female;0;0;40; United-States
12043;31; Self-emp-not-inc;30290; HS-grad;9; Never-married; Other-service; Unmarried; White; Female;0;0;40; United-States
12044;39; Private;188540; HS-grad;9; Divorced; Exec-managerial; Not-in-family; White; Male;0;0;45; United-States
12045;39; Private;237943; Bachelors;13; Married-civ-spouse; Sales; Husband; White; Male;0;0;30; United-States
12046;25; Private;198870; Bachelors;13; Never-married; Adm-clerical; Own-child; Black; Male;0;0;35; United-States
12047;30; Private;233980; 11th;7; Married-civ-spouse; Transport-moving; Husband; White; Male;0;0;40; United-States
12048;37; Private;171090; 9th;5; Married-civ-spouse; Machine-op-inspct; Wife; Black; Female;0;0;48; United-States
12049;22; Private;353039; HS-grad;9; Never-married; Craft-repair; Unmarried; White; Female;0;0;36; Mexico
12050;46; Federal-gov;213140; Masters;14; Married-civ-spouse; Exec-managerial; Husband; White; Male;0;1977;40; United-States
12051;54; Private;188136; Bachelors;13; Divorced; Sales; Not-in-family; White; Female;0;1408;38; United-States
12052;33; Private;130057; Assoc-acdm;12; Never-married; Craft-repair; Not-in-family; White; Male;0;0;45; United-States
12053;70; State-gov;345339; Bachelors;13; Never-married; Exec-managerial; Not-in-family; White; Male;0;0;40; United-States
12054;36; Private;182074; Some-college;10; Divorced; Adm-clerical; Not-in-family; White; Male;0;0;45; United-States
12055;53; Local-gov;176557; Masters;14; Divorced; Prof-specialty; Unmarried; White; Female;0;0;50; United-States
12056;55; State-gov;71630; HS-grad;9; Divorced; Adm-clerical; Not-in-family; White; Female;0;1617;40; United-States
